timestamp,rpm,flow,pressure,power
2026-05-16 17:45:44,817.76,27.71,2.69,344.03
2026-05-16 17:45:46,573.85,41.92,1.75,122.43
2026-05-16 17:45:48,810.61,33.52,4.6,300.92
2026-05-16 17:45:50,900.11,32.95,2.55,308.25
2026-05-16 17:45:52,947.59,19.59,5.93,294.33
2026-05-16 17:45:54,899.34,44.64,5.7,188.07
2026-05-16 17:45:56,879.81,37.16,2.51,84.19
2026-05-16 17:45:58,406.94,15.83,2.68,181.08
2026-05-16 17:46:00,702.42,29.51,5.4,64.2
2026-05-16 17:46:02,906.57,20.94,4.34,348.58
2026-05-16 17:46:04,818.72,20.81,3.01,182.13
2026-05-16 17:46:06,605.46,44.49,4.56,318.77
2026-05-16 17:46:08,852.31,19.77,2.06,347.1
2026-05-16 17:46:10,728.61,37.33,4.2,167.98
2026-05-16 17:46:12,587.88,24.84,2.24,230.74
2026-05-16 17:46:15,779.01,26.85,5.33,59.91
2026-05-16 17:46:17,711.56,40.13,1.93,288.26
2026-05-16 17:46:19,862.75,20.78,1.84,307.56
2026-05-16 17:46:21,454.1,30.41,1.54,295.13
2026-05-16 17:46:24,826.95,27.95,5.61,285.66
2026-05-16 17:46:26,846.2,37.58,1.99,261.62
2026-05-16 17:46:28,873.27,38.19,4.55,291.34
2026-05-16 17:46:30,545.59,33.93,5.74,229.02
2026-05-16 17:46:32,435.15,34.54,3.44,218.11
2026-05-16 17:46:34,593.32,38.33,2.57,69.62
2026-05-16 17:46:36,675.04,37.03,1.82,90.1
2026-05-16 17:46:38,644.29,44.43,1.54,265.65
2026-05-16 17:46:40,589.38,20.65,1.61,99.35
2026-05-16 17:46:42,847.07,21.12,4.82,241.59
2026-05-16 17:46:44,760.29,38.42,5.09,206.55
2026-05-16 17:46:46,688.91,20.43,4.44,246.34
2026-05-16 17:46:50,617.76,43.17,3.7,191.1
2026-05-16 17:46:52,851.49,19.1,2.49,135.65
2026-05-16 17:46:54,924.02,17.79,1.66,186.03
2026-05-16 17:46:57,911.39,40.83,5.03,301.05
2026-05-16 17:46:59,773.89,39.93,3.35,155.47
2026-05-16 17:47:01,489.93,20.77,4.58,307.35
2026-05-16 17:47:03,679.5,39.33,2.18,338.45
2026-05-16 17:47:05,884.9,43.47,5.43,177.79
2026-05-16 17:47:07,702.07,21.59,2.93,275.05
2026-05-16 17:47:09,449.39,15.84,3.07,71.81
2026-05-16 17:47:12,568.83,18.83,3.69,114.26
2026-05-16 17:47:14,473.59,35.23,2.66,149.74
2026-05-16 17:47:16,726.16,44.35,2.72,140.56
2026-05-16 17:47:18,541.69,24.96,4.5,94.86
2026-05-16 17:47:20,718.85,22.21,3.32,299.47
2026-05-16 17:47:23,721.73,32.18,2.8,323.44
2026-05-16 17:47:25,854.41,44.19,5.92,165.02
2026-05-16 17:47:27,481.93,37.67,4.79,294.6
2026-05-16 17:47:29,700.61,28.18,4.37,95.89
2026-05-16 17:47:31,448.95,29.3,1.81,167.88
2026-05-16 17:47:33,651.97,22.53,2.26,142.56
2026-05-16 17:47:35,907.67,25.43,2.77,203.21
2026-05-16 17:47:37,495.71,16.52,1.8,216.32
2026-05-16 17:47:39,572.6,28.02,3.93,222.73
2026-05-16 17:47:41,416.11,33.46,2.6,104.27
2026-05-16 17:47:43,791.84,26.05,2.33,332.47
2026-05-16 17:47:45,766.75,15.2,3.88,184.71
2026-05-16 17:47:47,490.4,38.7,5.21,182.59
2026-05-16 17:47:49,722.43,38.1,4.64,56.2
2026-05-16 17:47:51,644.44,28.68,4.27,245.15
2026-05-16 17:47:53,608.24,23.81,5.86,312.38
2026-05-16 17:47:55,948.76,31.42,2.3,175.22
2026-05-16 17:47:57,561.66,42.59,1.84,164.32
2026-05-16 17:47:59,587.2,28.59,4.79,130.55
2026-05-16 17:48:01,661.22,17.92,2.15,348.07
2026-05-16 17:48:03,897.22,23.48,2.51,196.24
2026-05-16 17:48:05,674.25,42.99,5.93,104.91
2026-05-16 17:48:07,831.51,17.7,2.72,253.44
2026-05-16 17:48:09,581.21,34.61,4.45,107.7
2026-05-16 17:48:11,821.68,38.48,4.08,313.66
2026-05-16 17:48:13,706.38,20.25,3.38,180.45
2026-05-16 17:48:15,824.89,39.52,5.21,105.99
2026-05-16 17:48:17,556.37,29.58,5.79,302.02
2026-05-16 17:48:19,762.77,44.27,5.8,212.26
2026-05-16 17:48:21,546.86,23.27,5.01,312.53
2026-05-16 17:48:24,886.72,24.62,5.6,180.81
2026-05-16 17:48:26,487.05,29.41,5.48,258.7
2026-05-16 17:48:28,453.95,23.68,3.56,90.67
2026-05-16 17:48:30,500.59,37.5,3.62,51.5
2026-05-16 17:48:32,653.19,31.59,2.19,96.95
2026-05-16 17:48:34,914.22,19.94,5.95,161.53
2026-05-16 17:48:36,490.66,40.95,1.63,86.25
2026-05-16 17:48:38,571.78,36.62,3.14,91.99
2026-05-16 17:48:40,801.89,17.68,3.39,56.05
2026-05-16 17:48:42,629.54,42.06,3.25,133.57
2026-05-16 17:48:44,656.27,26.48,3.92,130.8
2026-05-16 17:48:46,554.68,15.45,3.46,119.21
2026-05-16 17:48:48,882.18,31.83,2.21,56.55
2026-05-16 17:48:50,473.46,43.37,3.63,160.93
2026-05-16 17:48:52,661.36,37.71,4.45,87.23
2026-05-16 17:48:54,401.9,25.68,3.21,284.47
2026-05-16 17:48:56,655.55,19.55,3.0,89.05
2026-05-16 17:48:58,496.76,33.95,5.51,80.29
2026-05-16 17:49:00,425.36,38.75,1.54,51.93
2026-05-16 17:49:02,711.28,28.83,5.19,179.16
2026-05-16 17:49:04,895.45,22.51,4.13,348.09
2026-05-16 17:49:06,814.62,24.54,4.16,264.2
2026-05-16 17:49:08,798.42,33.16,4.88,252.14
2026-05-16 17:49:10,641.67,20.27,4.17,127.97
2026-05-16 17:49:12,523.58,28.79,3.98,214.58
2026-05-16 17:49:14,761.98,16.49,5.38,131.34
2026-05-16 17:49:16,679.59,39.39,3.35,324.24
2026-05-16 17:49:19,578.82,20.51,3.03,147.48
2026-05-16 17:49:21,835.27,22.09,5.14,180.11
2026-05-16 17:49:23,735.72,17.61,2.97,332.6
2026-05-16 17:49:25,881.92,30.36,4.93,294.68
2026-05-16 17:49:27,486.67,19.51,2.83,141.89
2026-05-16 17:49:29,801.98,23.56,2.32,266.35
2026-05-16 17:49:31,882.77,33.39,4.01,299.87
2026-05-16 17:49:33,922.62,44.02,3.1,337.63
2026-05-16 17:49:35,523.45,33.43,3.87,84.25
2026-05-16 17:49:37,701.62,28.72,3.26,112.03
2026-05-16 17:49:40,644.27,40.87,2.46,120.18
2026-05-16 17:49:42,878.84,23.95,4.47,336.52
2026-05-16 17:49:44,750.01,42.13,4.46,143.57
2026-05-16 17:49:46,558.44,44.69,1.67,296.26
2026-05-16 17:49:48,452.87,37.96,2.3,218.36
2026-05-16 17:49:50,649.64,26.17,2.75,215.95
2026-05-16 17:49:52,744.39,18.9,2.46,219.61
2026-05-16 17:49:54,482.69,25.86,4.11,61.61
2026-05-16 17:49:56,917.75,21.59,4.4,238.89
2026-05-16 17:49:58,938.03,25.83,5.5,301.8
2026-05-16 17:50:00,906.38,17.85,5.25,103.54
2026-05-16 17:50:02,675.37,41.88,1.96,135.3
2026-05-16 17:50:04,538.49,27.35,5.82,116.79
2026-05-16 17:50:06,703.0,37.36,1.98,123.95
2026-05-16 17:50:08,462.54,33.41,5.25,302.63
2026-05-16 17:50:10,595.12,17.59,5.0,229.77
2026-05-16 17:50:12,907.86,19.74,3.16,98.47
2026-05-16 17:50:14,466.5,42.46,5.8,67.28
2026-05-16 17:50:16,486.41,36.07,3.78,84.35
2026-05-16 17:50:18,590.08,39.11,5.4,55.49
2026-05-16 17:50:20,909.4,31.12,5.87,248.83
2026-05-16 17:50:22,821.1,41.62,4.18,160.88
2026-05-16 17:50:24,943.07,38.77,1.67,314.21
2026-05-16 17:50:26,864.49,25.44,4.61,231.51
2026-05-16 17:50:29,940.66,40.36,3.97,341.21
2026-05-16 17:50:31,543.63,19.48,2.69,298.13
